Report Date,Average Duration
1987-08-31,14.8799997620341
1987-09-30,17.3611741482601
1987-10-31,15.1812067539199
1987-11-30,13.8017174571445
1987-12-31,12.152858498113
1988-01-31,9.02003915493247
1988-02-29,13.7045085893958
1988-03-31,17.8952179900849
1988-04-30,17.3622288309768
1988-05-31,16.6707814305894
1988-06-30,16.2442085582061
1988-07-31,11.6122258644572
1988-08-31,13.7364764532125
1988-09-30,15.8287419903885
1988-10-31,14.3668046833609
1988-11-30,13.4171333715077
1988-12-31,11.8722697041176
1989-01-31,9.44842309141824
1989-02-28,13.174850199853
1989-03-31,16.0169565810384
1989-04-30,17.1278276511797
1989-05-31,16.4935097027093
1989-06-30,14.9132381542886
1989-07-31,11.1259951176149
1989-08-31,13.1000973629151
1989-09-30,15.0486403561545
